date,cosp,comp,tot1,tot2,p_cosp,p_comp
"2017-02-04","0","0","412","412","0","0"
"2017-02-05","0","0","402","402","0","0"
"2017-02-06","0","0","724","724","0","0"
"2017-02-07","0","0","779","779","0","0"
"2017-02-08","0","0","774","774","0","0"
"2017-02-09","0","0","787","787","0","0"
"2017-02-10","0","0","734","734","0","0"
"2017-02-11","0","0","471","471","0","0"
"2017-02-12","0","0","419","419","0","0"
"2017-02-13","0","1","673","673","0","0.0014858841010401188"
"2017-02-14","0","1","714","714","0","0.0014005602240896359"
"2017-02-15","0","0","713","713","0","0"
"2017-02-16","0","1","716","716","0","0.0013966480446927375"
"2017-02-17","0","0","644","644","0","0"
"2017-02-18","0","0","419","419","0","0"
"2017-02-19","0","0","428","428","0","0"
"2017-02-20","0","0","624","624","0","0"
"2017-02-21","0","0","715","715","0","0"
"2017-02-22","0","2","705","705","0","0.0028368794326241137"
"2017-02-23","0","0","700","700","0","0"
"2017-02-24","0","0","678","678","0","0"
"2017-02-25","0","0","415","415","0","0"
"2017-02-26","0","1","418","418","0","0.0023923444976076554"
"2017-02-27","0","0","683","683","0","0"
"2017-02-28","0","0","730","730","0","0"
"2017-03-01","0","0","722","722","0","0"
"2017-03-02","0","0","670","670","0","0"
"2017-03-03","0","0","701","701","0","0"
"2017-03-04","0","1","414","414","0","0.0024154589371980675"
"2017-03-05","0","1","395","395","0","0.002531645569620253"
"2017-03-06","0","2","601","601","0","0.0033277870216306157"
"2017-03-07","0","0","694","694","0","0"
"2017-03-08","0","0","733","733","0","0"
"2017-03-09","0","0","759","759","0","0"
"2017-03-10","0","0","611","611","0","0"
"2017-03-11","0","0","354","354","0","0"
"2017-03-12","0","0","351","351","0","0"
"2017-03-13","0","2","648","648","0","0.0030864197530864196"
"2017-03-14","1","0","691","691","0.001447178002894356","0"
"2017-03-15","1","0","717","717","0.001394700139470014","0"
"2017-03-16","0","3","726","726","0","0.004132231404958678"
"2017-03-17","0","2","718","718","0","0.002785515320334262"
"2017-03-18","0","0","432","432","0","0"
"2017-03-19","0","0","419","419","0","0"
"2017-03-20","1","1","747","747","0.0013386880856760374","0.0013386880856760374"
"2017-03-21","0","1","704","704","0","0.0014204545454545455"
"2017-03-22","0","1","780","780","0","0.001282051282051282"
"2017-03-23","0","0","754","754","0","0"
"2017-03-24","0","1","673","673","0","0.0014858841010401188"
"2017-03-25","0","0","329","329","0","0"
"2017-03-26","0","3","415","415","0","0.007228915662650603"
"2017-03-27","0","2","710","710","0","0.0028169014084507044"
"2017-03-28","0","1","738","738","0","0.0013550135501355014"
"2017-03-29","0","0","670","670","0","0"
"2017-03-30","0","0","742","742","0","0"
"2017-03-31","0","2","715","715","0","0.002797202797202797"
"2017-04-01","0","0","475","475","0","0"
"2017-04-02","0","1","425","425","0","0.002352941176470588"
"2017-04-03","0","0","728","728","0","0"
"2017-04-04","0","1","766","766","0","0.0013054830287206266"
"2017-04-05","0","1","759","759","0","0.0013175230566534915"
"2017-04-06","0","0","783","783","0","0"
"2017-04-07","1","1","708","708","0.0014124293785310734","0.0014124293785310734"
"2017-04-08","1","0","445","445","0.0022471910112359553","0"
"2017-04-09","0","1","385","385","0","0.0025974025974025974"
"2017-04-10","0","0","717","717","0","0"
"2017-04-11","0","3","755","755","0","0.003973509933774834"
"2017-04-12","0","1","736","736","0","0.001358695652173913"
"2017-04-13","0","0","730","730","0","0"
"2017-04-14","0","0","668","668","0","0"
"2017-04-15","0","0","407","407","0","0"
"2017-04-16","0","0","251","251","0","0"
"2017-04-17","0","0","380","380","0","0"
"2017-04-18","0","0","633","633","0","0"
"2017-04-19","0","1","695","695","0","0.0014388489208633094"
"2017-04-20","0","0","766","766","0","0"
"2017-04-21","0","1","721","721","0","0.0013869625520110957"
"2017-04-22","0","0","433","433","0","0"
"2017-04-23","0","0","428","428","0","0"
"2017-04-24","0","0","588","588","0","0"
"2017-04-25","0","1","489","489","0","0.002044989775051125"
"2017-04-26","0","1","706","706","0","0.00141643059490085"
"2017-04-27","0","1","725","725","0","0.001379310344827586"
"2017-04-28","0","1","670","670","0","0.0014925373134328358"
"2017-04-29","0","0","431","431","0","0"
"2017-04-30","0","1","444","444","0","0.0022522522522522522"
"2017-05-01","0","0","294","294","0","0"
"2017-05-02","0","1","704","704","0","0.0014204545454545455"
"2017-05-03","2","2","713","713","0.002805049088359046","0.002805049088359046"
"2017-05-04","0","1","713","713","0","0.001402524544179523"
"2017-05-05","0","1","709","709","0","0.0014104372355430183"
"2017-05-06","0","0","447","447","0","0"
"2017-05-07","0","1","479","479","0","0.0020876826722338203"
"2017-05-08","0","1","688","688","0","0.0014534883720930232"
"2017-05-09","0","1","690","690","0","0.0014492753623188406"
"2017-05-10","0","3","747","747","0","0.004016064257028112"
"2017-05-11","0","0","735","735","0","0"
"2017-05-12","0","1","706","706","0","0.00141643059490085"
"2017-05-13","0","0","478","478","0","0"
"2017-05-14","1","0","422","422","0.002369668246445498","0"
"2017-05-15","0","1","675","675","0","0.0014814814814814814"
"2017-05-16","0","1","739","739","0","0.0013531799729364006"
"2017-05-17","1","0","698","698","0.0014326647564469914","0"
"2017-05-18","0","1","725","725","0","0.001379310344827586"
"2017-05-19","0","0","666","666","0","0"
"2017-05-20","0","1","439","439","0","0.002277904328018223"
"2017-05-21","0","0","455","455","0","0"
"2017-05-22","0","0","761","761","0","0"
"2017-05-23","0","1","777","777","0","0.001287001287001287"
"2017-05-24","1","1","812","812","0.0012315270935960591","0.0012315270935960591"
"2017-05-25","0","0","743","743","0","0"
"2017-05-26","0","1","725","725","0","0.001379310344827586"
"2017-05-27","0","0","471","471","0","0"
"2017-05-28","0","2","430","430","0","0.004651162790697674"
"2017-05-29","0","0","738","738","0","0"
"2017-05-30","0","0","796","796","0","0"
"2017-05-31","0","0","723","723","0","0"
"2017-06-01","0","0","675","675","0","0"
"2017-06-02","0","0","506","506","0","0"
"2017-06-03","0","1","398","398","0","0.002512562814070352"
"2017-06-04","0","0","391","391","0","0"
"2017-06-05","0","0","705","705","0","0"
"2017-06-06","0","1","760","760","0","0.0013157894736842105"
"2017-06-07","0","0","752","752","0","0"
"2017-06-08","0","0","749","749","0","0"
"2017-06-09","0","0","716","716","0","0"
"2017-06-10","0","0","420","420","0","0"
"2017-06-11","0","0","453","453","0","0"
"2017-06-12","0","1","661","661","0","0.0015128593040847202"
"2017-06-13","0","1","738","738","0","0.0013550135501355014"
"2017-06-14","0","1","688","688","0","0.0014534883720930232"
"2017-06-15","0","0","670","670","0","0"
"2017-06-16","0","1","623","623","0","0.0016051364365971107"
"2017-06-17","0","0","454","454","0","0"
"2017-06-18","0","0","417","417","0","0"
"2017-06-19","0","1","609","609","0","0.0016420361247947454"
"2017-06-20","0","0","697","697","0","0"
"2017-06-21","0","0","695","695","0","0"
"2017-06-22","0","1","747","747","0","0.0013386880856760374"
"2017-06-23","0","1","526","526","0","0.0019011406844106464"
"2017-06-24","0","0","99","99","0","0"
"2017-06-25","0","0","430","430","0","0"
"2017-06-26","0","0","673","673","0","0"
"2017-06-27","0","3","746","746","0","0.004021447721179625"
"2017-06-28","0","0","692","692","0","0"
"2017-06-29","0","0","688","688","0","0"
"2017-06-30","0","0","681","681","0","0"
"2017-07-01","0","3","426","426","0","0.007042253521126761"
"2017-07-02","0","0","395","395","0","0"
"2017-07-03","0","0","633","633","0","0"
"2017-07-04","0","0","637","637","0","0"
"2017-07-05","0","1","734","734","0","0.0013623978201634877"
