S21_1,S21_2,S21_3,S21_4,D38_01_W9,D38_02_W9,D38_03_W9,D38_04_W9,gender,ANNO,AMP,zgp5,scolarita,D4_post,D38_post_01,D38_post_02,D38_post_03,D38_post_04,moon1,vacc1,stam1,chem1,moon2,vacc2,stam2,chem2,consp1,consp2,moon1_b,vacc1_b,stam1_b,chem1_b,moon2_b,vacc2_b,stam2_b,chem2_b,moon1_c,vacc1_c,stam1_c,chem1_c,moon2_c,vacc2_c,stam2_c,chem2_c,diff_moon,diff_vacc,diff_stam,diff_chem,anno2,age,titstu,sindes,stealth1,stealth2,stealth3,stealth4,stealth
9,8,8,10,9,7,7,8,2,1937,2,4,2,3,1,2,5,6,8,6,6,7,0,1,4,5,6.75,2.5,1,1,1,1,0,0,0,0,2,2,2,2,0,1,1,1,-8,-5,-2,-2,1937,83,Bassa,Csx,9,8,8,10,8.75
10,10,9,10,1,2,5,1,2,1970,3,4,5,6,1,1,9,1,0,1,4,0,0,0,8,0,1.25,2,0,0,0,0,0,0,1,0,0,1,1,0,0,0,2,0,0,-1,4,0,1970,50,Media,C,10,10,9,10,9.75
9,8,1,9,1,1,2,1,1,1970,1,1,2,7,1,2,1,1,0,0,1,0,0,1,0,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,-1,0,1970,50,Bassa,Cdx,9,8,1,9,6.75
7,8,1,8,4,4,4,4,,,,,,,,,,,3,3,3,3,,,,,3,,0,0,0,0,,,,,1,1,1,1,,,,,,,,,,,,,7,8,1,8,6
9,11,4,10,1,1,1,1,2,1946,1,2,9,,,,,,0,0,0,0,,,,,0,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,1946,74,Alta,,9,11,4,10,8.5
9,8,11,11,2,1,9,1,1,1949,6,3,4,3,1,1,12,1,1,0,8,0,0,0,,0,2.25,,0,0,1,0,0,0,,0,1,0,2,0,0,0,,0,-1,0,,0,1949,71,Media,Csx,9,8,11,11,9.75
6,6,6,7,2,2,7,4,,,,,,,,,,,1,1,6,3,,,,,2.75,,0,0,1,0,,,,,1,1,2,1,,,,,,,,,,,,,6,6,6,7,6.25
1,2,2,1,5,2,9,6,2,1980,3,3,2,12,1,2,1,1,4,1,8,5,0,1,0,0,4.5,0.25,0,0,1,0,0,0,0,0,1,1,2,1,0,1,0,0,-4,0,-8,-5,1980,40,Bassa,,1,2,2,1,1.5
7,4,3,5,2,1,9,1,2,1958,1,1,5,1,1,1,1,1,1,0,8,0,0,0,0,0,2.25,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,-1,0,-8,0,1958,62,Media,Sx,7,4,3,5,4.75
1,1,5,5,1,1,1,1,1,1942,2,2,4,7,3,3,3,1,0,0,0,0,2,2,2,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,2,2,0,1942,78,Media,Cdx,1,1,5,5,3
8,8,11,10,10,10,10,9,2,1976,6,5,5,11,10,10,8,8,9,9,9,8,9,9,7,7,8.75,8,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,0,0,-2,-1,1976,44,Media,Dx,8,8,11,10,9.25
8,4,8,9,2,2,2,4,2,1947,4,3,9,5,1,1,1,1,1,1,1,3,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,-1,-1,-1,-3,1947,73,Alta,Csx,8,4,8,9,7.25
6,6,7,6,12,12,12,12,2,1984,4,3,10,13,1,1,12,1,,,,,0,0,,0,,,,,,,0,0,,0,,,,,0,0,,0,,,,,1984,36,Alta,NC,6,6,7,6,6.25
1,1,11,1,1,1,3,1,,,,,,,,,,,0,0,2,0,,,,,0.5,,0,0,0,0,,,,,0,0,1,0,,,,,,,,,,,,,1,1,11,1,3.5
8,3,1,7,1,1,1,1,2,1942,4,1,7,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1942,78,Alta,Csx,8,3,1,7,4.75
10,11,11,11,12,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,11,11,11,10.75
11,11,10,11,8,1,4,2,,,,,,,,,,,7,0,3,1,,,,,2.75,,1,0,0,0,,,,,2,0,1,1,,,,,,,,,,,,,11,11,10,11,10.75
11,11,11,11,1,1,1,1,1,1990,6,1,6,,,,,,0,0,0,0,,,,,0,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,1990,30,Alta,,11,11,11,11,11
3,3,8,2,1,8,8,1,1,1974,2,1,4,9,1,1,11,1,0,7,7,0,0,0,10,0,3.5,2.5,0,1,1,0,0,0,1,0,0,2,2,0,0,0,2,0,0,-7,3,0,1974,46,Media,Cdx,3,3,8,2,4
4,2,2,2,1,1,3,4,,,,,,,,,,,0,0,2,3,,,,,1.25,,0,0,0,0,,,,,0,0,1,1,,,,,,,,,,,,,4,2,2,2,2.5
3,3,7,3,1,1,7,1,2,1976,4,1,10,8,1,4,12,1,0,0,6,0,0,3,,0,1.5,,0,0,1,0,0,0,,0,0,0,2,0,0,1,,0,0,3,,0,1976,44,Alta,Cdx,3,3,7,3,4
7,6,7,7,1,3,7,1,,,,,,,,,,,0,2,6,0,,,,,2,,0,0,1,0,,,,,0,1,2,0,,,,,,,,,,,,,7,6,7,7,6.75
10,8,9,8,8,8,10,10,,,,,,,,,,,7,7,9,9,,,,,8,,1,1,1,1,,,,,2,2,2,2,,,,,,,,,,,,,10,8,9,8,8.75
5,2,6,2,10,10,9,10,1,1953,1,1,4,11,1,7,5,1,9,9,8,9,0,6,4,0,8.75,2.5,1,1,1,1,0,1,0,0,2,2,2,2,0,2,1,0,-9,-3,-4,-9,1953,67,Media,Dx,5,2,6,2,3.75
2,3,4,1,10,11,11,5,2,1974,4,2,5,4,1,7,8,1,9,10,10,4,0,6,7,0,8.25,3.25,1,1,1,0,0,1,1,0,2,2,2,1,0,2,2,0,-9,-4,-3,-4,1974,46,Media,Csx,2,3,4,1,2.5
11,11,11,11,1,1,1,10,1,1994,3,1,5,3,1,1,1,1,0,0,0,9,0,0,0,0,2.25,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,-9,1994,26,Media,Csx,11,11,11,11,11
11,11,1,11,12,1,1,1,2,1946,6,1,5,12,12,6,1,1,,0,0,0,,5,0,0,,,,0,0,0,,0,0,0,,0,0,0,,1,0,0,,5,0,0,1946,74,Media,,11,11,1,11,8.5
12,12,6,1,3,3,6,6,2,1953,3,4,2,7,1,4,7,8,2,2,5,5,0,3,6,7,3.5,4,0,0,0,0,0,0,1,1,1,1,1,1,0,1,2,2,-2,1,1,2,1953,67,Bassa,Cdx,,,6,1,
9,9,9,9,1,10,3,1,,,,,,,,,,,0,9,2,0,,,,,2.75,,0,1,0,0,,,,,0,2,1,0,,,,,,,,,,,,,9,9,9,9,9
3,5,8,5,1,6,7,1,1,1953,3,2,4,13,1,1,5,1,0,5,6,0,0,0,4,0,2.75,1,0,0,1,0,0,0,0,0,0,1,2,0,0,0,1,0,0,-5,-2,0,1953,67,Media,NC,3,5,8,5,5.25
12,12,12,12,11,11,11,11,,,,,,,,,,,10,10,10,10,,,,,10,,1,1,1,1,,,,,2,2,2,2,,,,,,,,,,,,,,,,,
5,8,3,7,1,1,1,1,1,1976,2,2,10,8,2,1,1,1,0,0,0,0,1,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1976,44,Alta,Cdx,5,8,3,7,5.75
11,11,2,11,12,12,12,12,2,1972,6,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1972,48,Alta,,11,11,2,11,8.75
8,8,9,8,1,1,11,3,,,,,,,,,,,0,0,10,2,,,,,3,,0,0,1,0,,,,,0,0,2,1,,,,,,,,,,,,,8,8,9,8,8.25
6,6,11,8,1,1,5,1,1,1937,5,3,9,,,,,,0,0,4,0,,,,,1,,0,0,0,0,,,,,0,0,1,0,,,,,,,,,1937,83,Alta,,6,6,11,8,7.75
6,11,1,6,3,7,10,2,1,1951,2,1,5,9,7,9,9,1,2,6,9,1,6,8,8,0,4.5,5.5,0,1,1,0,1,1,1,0,1,2,2,1,2,2,2,0,4,2,-1,-1,1951,69,Media,Cdx,6,11,1,6,6
3,12,10,8,5,1,1,1,,,,,,,,,,,4,0,0,0,,,,,1,,0,0,0,0,,,,,1,0,0,0,,,,,,,,,,,,,3,,10,8,
7,4,9,7,1,2,3,1,1,1969,4,1,10,,,,,,0,1,2,0,,,,,0.75,,0,0,0,0,,,,,0,1,1,0,,,,,,,,,1969,51,Alta,,7,4,9,7,6.75
7,11,11,11,1,1,1,1,,,,,,,,,,,0,0,0,0,,,,,0,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,7,11,11,11,10
7,9,6,9,4,4,5,4,1,1988,4,4,5,9,1,3,4,1,3,3,4,3,0,2,3,0,3.25,1.25,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,-3,-1,-1,-3,1988,32,Media,Cdx,7,9,6,9,7.75
12,7,12,12,1,3,8,2,2,1981,4,3,9,5,1,2,12,1,0,2,7,1,0,1,,0,2.5,,0,0,1,0,0,0,,0,0,1,2,1,0,1,,0,0,-1,,-1,1981,39,Alta,Csx,,7,,,
8,10,6,10,1,1,2,1,,,,,,,,,,,0,0,1,0,,,,,0.25,,0,0,0,0,,,,,0,0,1,0,,,,,,,,,,,,,8,10,6,10,8.5
1,1,1,1,1,1,1,1,1,1959,3,3,5,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1959,61,Media,Csx,1,1,1,1,1
6,6,6,6,8,8,8,9,2,1978,6,3,9,12,7,11,12,11,7,7,7,8,6,10,,10,7.25,,1,1,1,1,1,1,,1,2,2,2,2,2,2,,2,-1,3,,2,1978,42,Alta,,6,6,6,6,6
11,11,11,11,6,6,6,6,2,1971,4,3,5,13,6,6,6,5,5,5,5,5,5,5,5,4,5,4.75,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,-1,1971,49,Media,NC,11,11,11,11,11
6,7,9,11,7,1,1,4,,,,,,,,,,,6,0,0,3,,,,,2.25,,1,0,0,0,,,,,2,0,0,1,,,,,,,,,,,,,6,7,9,11,8.25
11,8,11,11,1,1,1,1,2,1987,4,4,9,4,1,1,12,1,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,,0,1987,33,Alta,Csx,11,8,11,11,10.25
3,1,11,3,6,1,4,1,,,,,,,,,,,5,0,3,0,,,,,2,,0,0,0,0,,,,,1,0,1,0,,,,,,,,,,,,,3,1,11,3,4.5
5,4,9,6,1,5,9,2,,,,,,,,,,,0,4,8,1,,,,,3.25,,0,0,1,0,,,,,0,1,2,1,,,,,,,,,,,,,5,4,9,6,6
7,4,6,7,4,1,12,2,2,1986,2,1,8,8,1,1,5,1,3,0,,1,0,0,4,0,,1,0,0,,0,0,0,0,0,1,0,,1,0,0,1,0,-3,0,,-1,1986,34,Alta,Cdx,7,4,6,7,6
10,3,10,9,10,10,8,8,1,1985,4,1,9,8,1,1,1,1,9,9,7,7,0,0,0,0,8,0,1,1,1,1,0,0,0,0,2,2,2,2,0,0,0,0,-9,-9,-7,-7,1985,35,Alta,Cdx,10,3,10,9,8
8,1,6,7,6,1,6,1,1,1951,2,2,5,4,12,1,11,1,5,0,5,0,,0,10,0,2.5,,0,0,0,0,,0,1,0,1,0,1,0,,0,2,0,,0,5,0,1951,69,Media,Csx,8,1,6,7,5.5
7,4,3,6,2,5,3,3,1,1984,2,1,5,12,1,1,1,1,1,4,2,2,0,0,0,0,2.25,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,-1,-4,-2,-2,1984,36,Media,,7,4,3,6,5
6,10,1,4,3,2,8,6,,,,,,,,,,,2,1,7,5,,,,,3.75,,0,0,1,0,,,,,1,1,2,1,,,,,,,,,,,,,6,10,1,4,5.25
6,6,8,6,6,6,8,4,2,1967,4,5,4,8,1,6,7,2,5,5,7,3,0,5,6,1,5,3,0,0,1,0,0,0,1,0,1,1,2,1,0,1,2,1,-5,0,-1,-2,1967,53,Media,Cdx,6,6,8,6,6.5
4,3,2,2,9,3,1,2,1,1981,5,1,9,6,3,3,5,2,8,2,0,1,2,2,4,1,2.75,2.25,1,0,0,0,0,0,0,0,2,1,0,1,1,1,1,1,-6,0,4,0,1981,39,Alta,C,4,3,2,2,2.75
4,1,10,1,9,8,10,2,,,,,,,,,,,8,7,9,1,,,,,6.25,,1,1,1,0,,,,,2,2,2,1,,,,,,,,,,,,,4,1,10,1,4
9,8,9,9,2,1,2,3,2,1967,3,3,9,6,1,1,1,1,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,-1,0,-1,-2,1967,53,Alta,C,9,8,9,9,8.75
5,3,1,4,1,1,1,1,2,1947,6,1,9,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1947,73,Alta,Csx,5,3,1,4,3.25
7,8,6,6,2,2,11,2,,,,,,,,,,,1,1,10,1,,,,,3.25,,0,0,1,0,,,,,1,1,2,1,,,,,,,,,,,,,7,8,6,6,6.75
6,6,9,1,1,1,8,1,2,1983,4,1,9,10,1,1,1,1,0,0,7,0,0,0,0,0,1.75,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,-7,0,1983,37,Alta,Dx,6,6,9,1,5.5
8,7,5,9,3,1,1,1,2,1975,4,1,9,10,1,1,1,1,2,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2,0,0,0,1975,45,Alta,Dx,8,7,5,9,7.25
11,11,11,11,7,7,6,7,1,1972,6,3,9,4,12,5,5,1,6,6,5,6,,4,4,0,5.75,,1,1,0,1,,0,0,0,2,2,1,2,,1,1,0,,-2,-1,-6,1972,48,Alta,Csx,11,11,11,11,11
3,4,9,3,4,4,7,5,2,1986,3,5,5,13,7,7,9,4,3,3,6,4,6,6,8,3,4,5.75,0,0,1,0,1,1,1,0,1,1,2,1,2,2,2,1,3,3,2,-1,1986,34,Media,NC,3,4,9,3,4.75
5,6,6,5,3,6,7,3,2,1979,3,2,5,12,7,7,12,3,2,5,6,2,6,6,,2,3.75,,0,0,1,0,1,1,,0,1,1,2,1,2,2,,1,4,1,,0,1979,41,Media,,5,6,6,5,5.5
2,3,4,6,1,1,12,11,2,1955,4,4,5,4,1,3,12,1,0,0,,10,0,2,,0,,,0,0,,1,0,0,,0,0,0,,2,0,1,,0,0,2,,-10,1955,65,Media,Csx,2,3,4,6,3.75
6,2,10,9,6,1,5,1,2,1968,6,3,10,8,2,1,3,1,5,0,4,0,1,0,2,0,2.25,0.75,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,-4,0,-2,0,1968,52,Alta,Cdx,6,2,10,9,6.75
